[38;5;2m[i 0728 11:20:03.584459 40 compiler.py:956] Jittor(1.3.9.10) src: /mnt/disk2/cxs/anaconda3/envs/jllama_py3.9/lib/python3.9/site-packages/jittor[m
[38;5;2m[i 0728 11:20:03.589837 40 compiler.py:957] g++ at /usr/bin/g++(9.4.0)[m
[38;5;2m[i 0728 11:20:03.589939 40 compiler.py:958] cache_path: /home/cxs/.cache/jittor/jt1.3.9/g++9.4.0/py3.9.19/Linux-5.15.0-8x84/IntelRXeonRCPUx00/7039/default[m
[38;5;2m[i 0728 11:20:13.104429 40 install_cuda.py:93] cuda_driver_version: [12, 2][m
[38;5;2m[i 0728 11:20:13.113474 40 __init__.py:412] Found /home/cxs/.cache/jittor/jtcuda/cuda12.2_cudnn8_linux/bin/nvcc(12.2.140) at /home/cxs/.cache/jittor/jtcuda/cuda12.2_cudnn8_linux/bin/nvcc.[m
[38;5;2m[i 0728 11:20:13.194441 40 __init__.py:412] Found gdb(20.04.1) at /usr/bin/gdb.[m
[38;5;2m[i 0728 11:20:13.202227 40 __init__.py:412] Found addr2line(2.34) at /usr/bin/addr2line.[m
[38;5;2m[i 0728 11:20:29.923633 40 compiler.py:1013] cuda key:cu12.2.140_sm_75[m
[38;5;2m[i 0728 11:20:30.373778 40 __init__.py:227] Total mem: 62.75GB, using 16 procs for compiling.[m
[38;5;2m[i 0728 11:20:30.500547 40 jit_compiler.cc:28] Load cc_path: /usr/bin/g++[m
[38;5;2m[i 0728 11:20:47.255523 40 init.cc:63] Found cuda archs: [75,][m
[38;5;2m[i 0728 11:20:48.608245 40 __init__.py:412] Found mpicc(4.0.3) at /usr/bin/mpicc.[m
[38;5;2m[i 0728 11:20:49.116043 40 cuda_flags.cc:49] CUDA enabled.[m
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby LLaMA model :)
dim = 128
n_layers = 2
n_heads = 2
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
model_conf = ModelArgs(dim=128, n_layers=2, n_heads=2, vocab_size=65, multiple_of=8, norm_eps=1e-06, max_batch_size=64, max_seq_len=256)
number of parameters: 8.83M
num decayed parameter tensors: 21, with 8,833,280 parameters
num non-decayed parameter tensors: 5, with 640 parameters
using fused AdamW: False
step 0: train loss 4.3460, val loss 4.3384
iter 0: loss 4.35077429, time 14284.96ms
iter 1: loss 4.35010529, time 8573.92ms
iter 2: loss 4.34415579, time 155.35ms
iter 3: loss 4.34035730, time 47.75ms
iter 4: loss 4.33257961, time 47.33ms
iter 5: loss 4.31558609, time 48.13ms
iter 6: loss 4.31247282, time 47.15ms
iter 7: loss 4.30437803, time 49.15ms
iter 8: loss 4.28509617, time 47.02ms
iter 9: loss 4.27895117, time 48.60ms
iter 10: loss 4.25848484, time 46.79ms
iter 11: loss 4.22997952, time 46.95ms
iter 12: loss 4.20619631, time 47.37ms
iter 13: loss 4.18169689, time 46.93ms
iter 14: loss 4.15512705, time 46.16ms
iter 15: loss 4.13406181, time 45.80ms
iter 16: loss 4.10365677, time 47.33ms
iter 17: loss 4.05896378, time 47.61ms
iter 18: loss 4.03030920, time 46.07ms
iter 19: loss 3.99595380, time 45.27ms
iter 20: loss 3.96161580, time 46.80ms
iter 21: loss 3.91696644, time 45.39ms
iter 22: loss 3.87195945, time 45.88ms
iter 23: loss 3.83473158, time 45.34ms
iter 24: loss 3.78734088, time 46.66ms
iter 25: loss 3.72296000, time 2792.18ms
iter 26: loss 3.67758942, time 62.08ms
iter 27: loss 3.61907220, time 62.04ms
iter 28: loss 3.58925700, time 60.06ms
iter 29: loss 3.51551318, time 58.30ms
iter 30: loss 3.46822238, time 58.11ms
iter 31: loss 3.41125989, time 58.31ms
iter 32: loss 3.37896514, time 58.08ms
iter 33: loss 3.31069994, time 57.52ms
iter 34: loss 3.29216385, time 58.28ms
iter 35: loss 3.25404072, time 57.43ms
iter 36: loss 3.20151901, time 58.25ms
iter 37: loss 3.18247247, time 58.43ms
iter 38: loss 3.10910535, time 57.96ms
iter 39: loss 3.08230376, time 58.12ms
iter 40: loss 3.07429457, time 57.94ms
iter 41: loss 3.04953599, time 57.82ms
iter 42: loss 3.03255868, time 58.04ms
iter 43: loss 3.00242949, time 57.56ms
iter 44: loss 2.96480536, time 57.97ms
iter 45: loss 2.96243978, time 57.67ms
iter 46: loss 2.93604469, time 58.16ms
iter 47: loss 2.90770769, time 58.17ms
iter 48: loss 2.88053489, time 58.19ms
iter 49: loss 2.88220477, time 58.28ms
iter 50: loss 2.82487845, time 58.21ms
iter 51: loss 2.79489470, time 57.91ms
iter 52: loss 2.80752492, time 58.52ms
iter 53: loss 2.81642532, time 57.95ms
iter 54: loss 2.79903316, time 58.12ms
iter 55: loss 2.79537845, time 58.19ms
iter 56: loss 2.79247546, time 57.66ms
iter 57: loss 2.72760963, time 57.41ms
iter 58: loss 2.73562884, time 56.69ms
iter 59: loss 2.70679283, time 60.12ms
iter 60: loss 2.71248674, time 58.05ms
iter 61: loss 2.69449139, time 57.99ms
iter 62: loss 2.68465781, time 57.42ms
iter 63: loss 2.70203233, time 57.40ms
iter 64: loss 2.69509268, time 57.47ms
iter 65: loss 2.67769694, time 57.78ms
iter 66: loss 2.67685342, time 57.42ms
iter 67: loss 2.63838744, time 57.40ms
iter 68: loss 2.63015938, time 57.46ms
iter 69: loss 2.63337994, time 57.35ms
iter 70: loss 2.64535689, time 57.87ms
iter 71: loss 2.62504554, time 57.98ms
iter 72: loss 2.59975004, time 57.77ms
iter 73: loss 2.60819077, time 58.09ms
